element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q1888,калифорний,Cf,98,1950,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Californium.jpg
http://www.wikidata.org/entity/Q1888,калифорний,Cf,98,1950,Альберт Гиорсо,http://commons.wikimedia.org/wiki/Special:FilePath/Californium.jpg
http://www.wikidata.org/entity/Q1888,калифорний,Cf,98,1950,Kenneth Street Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Californium.jpg
http://www.wikidata.org/entity/Q1888,калифорний,Cf,98,1950,Stanley Gerald Thompson,http://commons.wikimedia.org/wiki/Special:FilePath/Californium.jpg
http://www.wikidata.org/entity/Q1892,эйнштейний,Es,99,1952,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Einsteinium.jpg
http://www.wikidata.org/entity/Q1892,эйнштейний,Es,99,1952,Альберт Гиорсо,http://commons.wikimedia.org/wiki/Special:FilePath/Einsteinium.jpg
http://www.wikidata.org/entity/Q1896,фермий,Fm,100,1952,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Fermium-Ytterbium%20Alloy.jpg
http://www.wikidata.org/entity/Q1898,менделевий,Md,101,1955,Гленн Теодор Сиборг,
http://www.wikidata.org/entity/Q1901,нобелий,No,102,1958,Гленн Теодор Сиборг,
http://www.wikidata.org/entity/Q1905,лоуренсий,Lr,103,1961,Альберт Гиорсо,
http://www.wikidata.org/entity/Q1226,резерфордий,Rf,104,1964,Альберт Гиорсо,
http://www.wikidata.org/entity/Q1232,дубний,Db,105,1970,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1232,дубний,Db,105,1970,Национальная лаборатория имени Лоуренса в Беркли,
http://www.wikidata.org/entity/Q1234,сиборгий,Sg,106,1974,Юрий Оганесян,
http://www.wikidata.org/entity/Q1249,борий,Bh,107,1976,Юрий Оганесян,
http://www.wikidata.org/entity/Q1252,хассий,Hs,108,1984,Институт тяжёлых ионов,
http://www.wikidata.org/entity/Q1258,мейтнерий,Mt,109,1982,Институт тяжёлых ионов,
http://www.wikidata.org/entity/Q1266,дармштадтий,Ds,110,1994,Институт тяжёлых ионов,
http://www.wikidata.org/entity/Q1272,рентгений,Rg,111,1994,Институт тяжёлых ионов,
http://www.wikidata.org/entity/Q1278,коперниций,Cn,112,1996,Институт тяжёлых ионов,
http://www.wikidata.org/entity/Q1301,нихоний,Nh,113,2006,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1302,флеровий,Fl,114,1999,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1303,московий,Mc,115,2003,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1304,ливерморий,Lv,116,2000,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1306,теннессин,Ts,117,2009,Юрий Оганесян,
http://www.wikidata.org/entity/Q1306,теннессин,Ts,117,2010,Юрий Оганесян,
http://www.wikidata.org/entity/Q1307,оганесон,Og,118,2002,Объединённый институт ядерных исследований,
http://www.wikidata.org/entity/Q1139,унуненний,Uue,119,,,
http://www.wikidata.org/entity/Q1146,унбинилий,Ubn,120,,,
http://www.wikidata.org/entity/Q1466,унбиуний,Ubu,121,,,
http://www.wikidata.org/entity/Q7425,унбибий,Ubb,122,,,
